Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/index.php/2025/10/21/imagem-440kb/,1418,0,530.0,656.3083295705231,140.81329599957826,1788.0434050002805,30690.0,24.05653184989543,0.0,530,580,680,940,1100,1300,1500,1600,1800,1800,1800
GET,/index.php/2025/10/21/imagem-890kb/,2069,0,530.0,671.2126812658349,139.43744199968933,1776.678105999963,30748.0,35.10082115474869,0.0,530,590,720,1000,1200,1300,1500,1700,1800,1800,1800
GET,/index.php/2025/10/21/texto-300kb/,707,0,560.0,685.0132467043992,150.96296499996242,1788.647265999316,339826.0,11.994335696668594,0.0,560,610,730,990,1200,1400,1600,1700,1800,1800,1800
,Aggregated,4194,0,530.0,668.499908032911,139.43744199968933,1788.647265999316,82830.95231282785,71.15168870131271,0.0,530,590,700,980,1200,1300,1500,1700,1800,1800,1800
