Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/index.php/2025/10/21/imagem-440kb/,1237,0,140.0,153.80092502424236,112.01446900031442,610.0988549997055,30690.0,20.86660399712501,0.0,140,150,160,160,180,250,380,410,590,610,610
GET,/index.php/2025/10/21/imagem-890kb/,1991,0,140.0,153.9728688357622,107.41799399966112,593.091655000535,30748.0,33.58561726618909,0.0,140,150,160,160,180,290,370,390,590,590,590
GET,/index.php/2025/10/21/texto-300kb/,591,0,150.0,157.08400432828986,116.8172659999982,446.54560100025265,339826.0,9.969412257316801,0.0,150,150,160,170,180,210,380,390,450,450,450
,Aggregated,3819,0,140.0,154.39863122938206,107.41799399966112,610.0988549997055,78559.8229903116,64.4216335206309,0.0,140,150,160,160,180,270,370,390,590,610,610
