Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/index.php/2025/10/21/imagem-440kb/,1028,0,160.0,183.48535031226035,122.18432899953768,873.2914909996907,30690.0,17.313314914386847,0.0,160,170,190,200,230,330,420,460,680,870,870
GET,/index.php/2025/10/21/imagem-890kb/,1616,0,160.0,186.19472605756863,119.8365210002521,727.402217999952,30748.0,27.216261577479717,0.0,160,180,190,200,230,360,430,460,700,730,730
GET,/index.php/2025/10/21/texto-300kb/,520,0,170.0,193.19918220189018,137.18719299959048,933.631530000639,339826.0,8.757707933347433,0.0,170,180,200,200,230,330,430,570,930,930,930
,Aggregated,3164,0,160.0,186.46561067478402,119.8365210002521,933.631530000639,81525.79266750948,53.287284425214,0.0,160,180,190,200,230,350,420,460,700,930,930
