Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/index.php/2025/10/21/imagem-440kb/,1614,0,530.0,582.4711601425204,136.59469499998522,1185.68235299972,30690.0,27.314264098622665,0.0,530,610,680,720,830,920,1000,1000,1200,1200,1200
GET,/index.php/2025/10/21/imagem-890kb/,2361,0,530.0,585.544661850064,136.89879499997915,1334.6878319998723,30748.0,39.95599599556884,0.0,530,620,680,720,830,930,1000,1100,1200,1300,1300
GET,/index.php/2025/10/21/texto-300kb/,830,0,550.0,605.8441793783024,147.99368500007404,1355.895263000093,339826.0,14.046368774384643,0.0,550,640,710,750,860,950,1000,1000,1400,1400,1400
,Aggregated,4805,0,530.0,588.0187446372561,136.59469499998522,1355.895263000093,84117.64162330906,81.31662886857616,0.0,530,620,690,730,840,930,1000,1000,1200,1400,1400
