Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/index.php/2025/10/21/imagem-440kb/,1466,0,1200.0,1224.3320988847295,140.880068000115,3089.8002909998468,30690.0,24.53619154990811,0.0,1200,1400,1500,1600,1900,2200,2500,2600,2900,3100,3100
GET,/index.php/2025/10/21/imagem-890kb/,2209,0,1200.0,1220.025786975541,132.1474420001323,2890.414869999404,30748.0,36.97165561647136,0.0,1200,1400,1500,1600,1800,2100,2400,2600,2900,2900,2900
GET,/index.php/2025/10/21/texto-300kb/,715,0,1300.0,1303.3128378937176,156.3178099995639,2885.615570000482,339826.0,11.966832850057504,0.0,1300,1500,1600,1700,2100,2400,2700,2800,2900,2900,2900
,Aggregated,4390,0,1200.0,1235.0288153731185,132.1474420001323,3089.8002909998468,81068.2145785877,73.47468001643698,0.0,1200,1400,1500,1600,1900,2200,2500,2700,2900,3100,3100
