Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/index.php/2025/10/21/imagem-440kb/,1207,0,1200.0,1436.9106813595658,139.46891800060257,3332.94858499994,30690.0,20.508266964249575,0.0,1200,1900,2100,2200,2400,2500,2900,3100,3300,3300,3300
GET,/index.php/2025/10/21/imagem-890kb/,1844,0,1200.0,1436.377853016823,138.89478799956123,3331.469918000039,30748.0,31.33160255350142,0.0,1200,1900,2100,2200,2300,2500,2600,2800,3300,3300,3300
GET,/index.php/2025/10/21/texto-300kb/,631,0,1200.0,1481.7224615261646,147.38369099995907,3317.4405150002713,339826.0,10.721388943199239,0.0,1200,1900,2100,2200,2400,2600,2700,3000,3300,3300,3300
,Aggregated,3682,0,1200.0,1444.3234184103826,138.89478799956123,3332.94858499994,83696.99837045085,62.561258460950235,0.0,1200,1900,2100,2200,2400,2500,2700,3100,3300,3300,3300
