Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/index.php/2025/10/21/imagem-440kb/,1504,0,1100.0,1157.224234799196,160.7460909999645,3548.2679380002082,30690.0,25.55343808778102,0.0,1100,1300,1300,1400,1500,1900,2400,2500,3000,3500,3500
GET,/index.php/2025/10/21/imagem-890kb/,2346,0,1100.0,1134.6320100051214,161.4052860004449,3415.966393999952,30748.0,39.85928574064779,0.0,1100,1200,1300,1400,1600,1900,2300,2500,2900,3400,3400
GET,/index.php/2025/10/21/texto-300kb/,810,0,1100.0,1193.8060076271663,186.07222799982992,3691.2468000000445,339826.0,13.762157480786321,0.0,1100,1300,1400,1400,1600,2000,2300,2600,3700,3700,3700
,Aggregated,4660,0,1100.0,1152.2091868643768,160.7460909999645,3691.2468000000445,84453.13905579399,79.17488130921514,0.0,1100,1200,1300,1400,1600,1900,2300,2500,3000,3700,3700
