Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/index.php/2025/10/21/imagem-440kb/,1144,0,160.0,173.3041739021055,118.23865000042133,378.5908649997509,30690.0,19.273879475669492,0.0,160,170,180,190,220,260,290,310,360,380,380
GET,/index.php/2025/10/21/imagem-890kb/,1672,0,160.0,175.2949142039355,126.40984599966032,387.33196900011535,30748.0,28.169516156747722,0.0,160,170,190,200,230,270,300,320,380,390,390
GET,/index.php/2025/10/21/texto-300kb/,551,0,170.0,181.20623053177846,132.0702099992559,341.07203199982905,339826.0,9.283136006200953,0.0,170,180,190,200,230,270,300,320,340,340,340
,Aggregated,3367,0,160.0,175.58589382714564,118.23865000042133,387.33196900011535,81308.03148203148,56.72653163861817,0.0,160,180,190,200,230,270,290,310,380,390,390
