Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/index.php/2025/10/21/imagem-440kb/,1481,0,510.0,621.6386461019672,134.30847299969173,1662.1320309996008,30690.0,25.110596117739128,0.0,510,540,600,780,1100,1200,1400,1400,1600,1700,1700
GET,/index.php/2025/10/21/imagem-890kb/,2237,0,510.0,626.5309990076015,135.7298670000091,1670.157904000007,30748.0,37.928699200123184,0.0,510,550,600,780,1100,1200,1300,1400,1700,1700,1700
GET,/index.php/2025/10/21/texto-300kb/,735,0,540.0,668.0821760095436,156.39504800037685,1693.170972000189,339826.0,12.462044663428939,0.0,540,590,700,1000,1200,1300,1400,1500,1700,1700,1700
,Aggregated,4453,0,510.0,631.7622005443586,134.30847299969173,1693.170972000189,81744.27936222771,75.50133998129125,0.0,510,550,620,870,1100,1300,1400,1400,1700,1700,1700
